From,To,Steps,Direction,Hazards,Custom Instruction,Landmark,Emergency,Night Safe
pg stairs,pg door,21,,,"Climb up 11 stairs, walk 10 steps forward.",,TRUE,FALSE
pg door,pg stairs,21,,,Walk 10 steps forward and climb down 11 steps.,,TRUE,FALSE
pg door,pg basement stairs,8,,,"if pg hallway: Turn left, walk 8 steps. else: Turn right, walk 8 steps.",,FALSE,TRUE
pg basement stairs,pg door,8,,,Walk 8 steps forward.,,,
pg door,pg hallway,8,,,"if pg basement stairs: Turn right, Walk 8 steps forward. else: Walk 8 steps forward. ",,,
pg hallway,pg door,8,,,"If point b: Turn right, Walk 8 steps forward. Else: turn left, walk 8 steps forward.",,,
pg hallway,point b,7,,,"if  pg door: turn left, walk 7 steps forward. else: walk 7 steps forward.",,,
point b,pg hallway,7,,,"if pg room 2: walk 7 steps forward. else: turn left, walk 7 steps forward. ",,,
point b,pg room 2,5,,,"if pg hallway: walk 5 steps forward. Else: turn right, walk 5 steps forward.",,,
pg room 2,point b,5,,,"if start: turn left, walk 5 steps forward. Else: walk 5 steps forward.",,,
pg room 2,pg room 1,13,,,"if start: turn right, walk 13 steps forward. Else: walk 13 steps forward.",,,
pg room 1,pg room 2,13,,,"if start: turn left, walk 13 steps straight. Else: walk 13 steps forward.",,,
pg room 1,corridor a,17,,,"if start: turn right, walk 17 steps straight. Else: walk 17 steps straight.",,,
corridor a,pg room 1,17,,,turn left walk 17 steps straight.,,,
corridor a,pg stairs to cafe,10,,,turn right walk 10 steps straight.,,,
pg stairs to cafe,corridor a,10,,,"if start: turn right, walk 10 steps straight. Else: walk 10 steps straight.",,,
pg stairs to cafe,ai chairperson room,5,,,"if start: turn left, walk 5 steps straight. Else: walk 5 steps straight.",,,
ai chairperson room,pg stairs to cafe,5,,,"if start: turn left, walk 5 steps straight. Else: walk 5 steps straight.",,,
ai chairperson room,pg office,18,,,"if start: turn right, walk 18 steps straight. Else: walk 18 steps straight.",,,
pg office,ai chairperson room,18,,,"if start: turn left, walk 18 steps straight. Else: walk 18 steps straight.",,,
pg office,cs hod room,10,,,"if start: turn right, walk 10 steps straight. Else: walk 10 steps straight.",,,
cs hod room,pg office,10,,,"if start: turn left, walk 10 steps straight. Else: walk 10 steps straight.",,,
cs hod room,pg ramp to cafe,3,,,"if start: turn right, walk 3 steps forward. Else: walk 3 steps forward.",,,
pg ramp to cafe,cs hod room,3,,,"if start: turn right, walk 3 steps forward. Else: walk 3 steps forward.",,,
pg ramp to cafe,pg female washroom,3,,,"if start: turn left, walk 3 steps forward. Else: walk 3 steps forward.",,,
pg female washroom,pg ramp to cafe,3,,,"if start: turn left, walk 3 steps forward. Else: walk 3 steps forward.",,,
pg female washroom,pg stairs to exit gate,3,,,"if start: turn right, walk 3 steps forward. Else: walk 3 steps forward.",,,
pg stairs to exit gate,pg female washroom,3,,,"if start: turn right, walk 3 steps forward. Else: walk 3 steps forward.",,,
pg stairs to exit gate,pg male toilet,6,,,"if start: walk 6 steps straight, be careful there is a railing ahead. Else: turn right, walk 6 steps straight.",,,
pg male toilet,pg stairs to exit gate,6,,,"if start: turn right, walk 6 steps straight. Else: walk 6 steps straight.",,,
pg male toilet,point a,24,,,"if start: turn left, walk 24 steps straight. Else: walk 24 steps straight.",,,
point a,pg male toilet,24,,,"if pg main lab: turn left, walk 24 steps straight. If point d: walk 24 steps straight.",,,
point a,pg main lab,9,,,"if pg male toilet: turn right, walk 9 steps straight. If point d: turn left, walk 9 steps straight.",,,
pg main lab,point a,9,,,"if start: turn left, walk 9 steps straight. Else: walk 9 steps straight.",,,
pg main lab,pg room 3,21,,,"if start: turn right, walk 21 steps straight. Else: walk 21 steps straight.",,,
pg room 3,pg main lab,21,,,"if start: turn left, walk 21 steps straight. Else: walk 21 steps straight.",,,
pg room 3,point 1,4,,,"if start: turn right, walk 4 steps straight. Else: walk 4 steps straight.",,,
point 1,pg room 3,4,,,"turn slightly right, walk 4 steps straight.",,,
point 1,point 2,6,,,turn slightly left and walk 6 steps straight.,,,
point 2,point 1,6,,,turn slightly left and walk 6 steps straight.,,,
point b,point 2,12,,,if pg hallway: turn right and walk 12 steps straight. Else: turn left and walk 12 steps straight.,,,
point 2,point b,12,,,turn slightly right and walk 12 steps.,,,
pg hallway ,point c,7,,,if pg door: turn right and walk 7 steps straight. Else: walk 7 steps straight.,,,
point c,pg hallway,7,,,if pg room 128: walk 7 steps straight. Else: turn right and walk 7 steps straight.,,,
point c,point 3,12,,,"if pg hallway: turn left, walk 12 steps straight. Else: turn right and walk 12 steps straight.",,,
point 3,point c,12,,,turn slightly left and walk 12 steps straight.,,,
point 3,point 4,6,,,turn slightly right and walk 6 steps straight.,,,
point 4,point 3,6,,,turn slightly right and walk 6 steps straight.,,,
point 4,pg server room,4,,,turn slightly left and walk 4 steps straight.,,,
pg server room,point 4,4,,,if start: turn left and walk 4 steps forward. Else: walk 4 steps forward.,,,
pg server room ,pg room 5,4,,,if start: turn right and walk 4 steps forward. Else: walk 4 steps forward.,,,
pg room 5,pg server room,4,,,if start: turn left and walk 4 steps forward. Else: walk 4 steps forward.,,,
pg room 5,pg room 4,16,,,if start: turn right and walk 16 steps forward. Else: walk 16 steps forward.,,,
pg room 4,pg room 5,16,,,if start: turn left and walk 16 steps forward. Else: walk 16 steps forward.,,,
pg room 4,point d,9,,,if start: turn right and walk 9 steps forward. Else: walk 9 steps forward.,,,
point d,pg room 4,9,,,"if open cafe stairs 2: turn left, walk 9 steps forward. Else: turn right and walk 9 steps straight.",,,
point d,point a,25,,,if pg room 4: turn left and walk 25 steps forward. Else: walk 25 steps forward.,,,
point a,point d,25,,,if pg main lab: turn right and walk 25 steps forward. Else: walk 25 steps forward.,,,
point d,open cafe stairs 2,31,,,if pg room 4: turn right and walk 31 steps forward. Else: walk 31 steps straight.,,,
open cafe stairs 2,point d,31,,,if start: walk 31 steps straight. Else: turn left and walk 31 steps straight.,,,
open cafe stairs 2,female washroom 2,6,,,if start: turn left and walk 6 steps forward. Else: turn right and walk 6 steps forward.,,,
female washroom 2,open cafe stairs 2,6,,,if start: turn left and walk 6 steps straight. Else: walk 6 steps straight.,,,
female washroom 2,pg room 125,12,,,if start: turn right and walk 12 steps straight. Else: walk 12 steps straight.,,,
pg room 125,female washroom 2,12,,,if start: turn left and walk 12 steps straight. Else: walk 12 steps straight.,,,
pg room 125,pg room 126,18,,,if start: turn right and walk 18 steps straight. Else: walk 18 steps straight.,,,
pg room 126,pg room 125,18,,,if start: turn left and walk 18 steps straight. Else: walk 18 steps straight.,,,
pg room 126,open cafe stairs 1,4,,,if start: turn right and walk 4 steps forward. Else: walk 4 steps forward.,,,
open cafe stairs 1,pg room 126,4,,,if start: turn right and walk 4 steps forward. Else: walk 4 steps forward.,,,
open cafe stairs 1,corridor b,10,,,if start: turn left and walk 10 steps forward. Else: walk 10 steps forward.,,,
corridor b,open cafe stairs 1,10,,,turn left and walk 10 steps straight.,,,
corridor b,pg room 127,16,,,turn right and walk 16 steps straight.,,,
pg room 127,corridor b,16,,,if start: turn left and walk 16 steps forward. Else: walk 16 steps forward.,,,
pg room 127,pg room 128,15,,,if start: turn right and walk 15 steps forward. Else: walk 15 steps forward.,,,
pg room 128,pg room 127,15,,,if start: turn left and walk 15 steps forward. Else: walk 15 steps forward.,,,
pg room 128,point c,6,,,if start: turn right and walk 6 steps forward. Else: walk 6 steps forward.,,,
point c,pg room 128,6,,,if pg hallway: walk 6 steps straight. Else: turn left and walk 6 steps straight.,,,
